"","fractal_left","fractal_right","left_prob","right_prob","left_mag","right_mag","left_prob_value","right_prob_value","left_mag_value","right_mag_value","left_stim","right_stim","reward","resp_type"
"33","r2p2m1.png","r2p2m3.png","p2","p2","m1","m3",0.5,0.5,1,3,"stim/juice/r2p2m1.png","stim/juice/r2p2m3.png","juice","gaze"
"34","r2p2m1.png","r2p3m1.png","p2","p3","m1","m1",0.5,0.9,1,1,"stim/juice/r2p2m1.png","stim/juice/r2p3m1.png","juice","gaze"
"35","r2p2m1.png","r2p3m2.png","p2","p3","m1","m2",0.5,0.9,1,2,"stim/juice/r2p2m1.png","stim/juice/r2p3m2.png","juice","gaze"
"36","r2p2m1.png","r2p3m3.png","p2","p3","m1","m3",0.5,0.9,1,3,"stim/juice/r2p2m1.png","stim/juice/r2p3m3.png","juice","gaze"
"37","r2p2m2.png","r2p1m1.png","p2","p1","m2","m1",0.5,0.1,2,1,"stim/juice/r2p2m2.png","stim/juice/r2p1m1.png","juice","gaze"
"38","r2p2m2.png","r2p1m2.png","p2","p1","m2","m2",0.5,0.1,2,2,"stim/juice/r2p2m2.png","stim/juice/r2p1m2.png","juice","gaze"
"39","r2p2m2.png","r2p1m3.png","p2","p1","m2","m3",0.5,0.1,2,3,"stim/juice/r2p2m2.png","stim/juice/r2p1m3.png","juice","gaze"
"40","r2p2m2.png","r2p2m1.png","p2","p2","m2","m1",0.5,0.5,2,1,"stim/juice/r2p2m2.png","stim/juice/r2p2m1.png","juice","gaze"
"41","r2p2m2.png","r2p2m2.png","p2","p2","m2","m2",0.5,0.5,2,2,"stim/juice/r2p2m2.png","stim/juice/r2p2m2.png","juice","gaze"
"42","r2p2m2.png","r2p2m3.png","p2","p2","m2","m3",0.5,0.5,2,3,"stim/juice/r2p2m2.png","stim/juice/r2p2m3.png","juice","gaze"
"43","r2p2m2.png","r2p3m1.png","p2","p3","m2","m1",0.5,0.9,2,1,"stim/juice/r2p2m2.png","stim/juice/r2p3m1.png","juice","gaze"
"44","r2p2m2.png","r2p3m2.png","p2","p3","m2","m2",0.5,0.9,2,2,"stim/juice/r2p2m2.png","stim/juice/r2p3m2.png","juice","gaze"
"45","r2p2m2.png","r2p3m3.png","p2","p3","m2","m3",0.5,0.9,2,3,"stim/juice/r2p2m2.png","stim/juice/r2p3m3.png","juice","gaze"
"46","r2p2m3.png","r2p1m1.png","p2","p1","m3","m1",0.5,0.1,3,1,"stim/juice/r2p2m3.png","stim/juice/r2p1m1.png","juice","gaze"
"47","r2p2m3.png","r2p1m2.png","p2","p1","m3","m2",0.5,0.1,3,2,"stim/juice/r2p2m3.png","stim/juice/r2p1m2.png","juice","gaze"
"48","r2p2m3.png","r2p1m3.png","p2","p1","m3","m3",0.5,0.1,3,3,"stim/juice/r2p2m3.png","stim/juice/r2p1m3.png","juice","gaze"
"49","r2p2m3.png","r2p2m1.png","p2","p2","m3","m1",0.5,0.5,3,1,"stim/juice/r2p2m3.png","stim/juice/r2p2m1.png","juice","gaze"
"50","r2p2m3.png","r2p2m2.png","p2","p2","m3","m2",0.5,0.5,3,2,"stim/juice/r2p2m3.png","stim/juice/r2p2m2.png","juice","gaze"
"51","r2p2m3.png","r2p2m3.png","p2","p2","m3","m3",0.5,0.5,3,3,"stim/juice/r2p2m3.png","stim/juice/r2p2m3.png","juice","gaze"
"52","r2p2m3.png","r2p3m1.png","p2","p3","m3","m1",0.5,0.9,3,1,"stim/juice/r2p2m3.png","stim/juice/r2p3m1.png","juice","gaze"
"53","r2p2m3.png","r2p3m2.png","p2","p3","m3","m2",0.5,0.9,3,2,"stim/juice/r2p2m3.png","stim/juice/r2p3m2.png","juice","gaze"
"54","r2p2m3.png","r2p3m3.png","p2","p3","m3","m3",0.5,0.9,3,3,"stim/juice/r2p2m3.png","stim/juice/r2p3m3.png","juice","gaze"
"55","r2p3m1.png","r2p1m1.png","p3","p1","m1","m1",0.9,0.1,1,1,"stim/juice/r2p3m1.png","stim/juice/r2p1m1.png","juice","gaze"
"56","r2p3m1.png","r2p1m2.png","p3","p1","m1","m2",0.9,0.1,1,2,"stim/juice/r2p3m1.png","stim/juice/r2p1m2.png","juice","gaze"
"57","r2p3m1.png","r2p1m3.png","p3","p1","m1","m3",0.9,0.1,1,3,"stim/juice/r2p3m1.png","stim/juice/r2p1m3.png","juice","gaze"
"58","r2p3m1.png","r2p2m1.png","p3","p2","m1","m1",0.9,0.5,1,1,"stim/juice/r2p3m1.png","stim/juice/r2p2m1.png","juice","gaze"
"59","r2p3m1.png","r2p2m2.png","p3","p2","m1","m2",0.9,0.5,1,2,"stim/juice/r2p3m1.png","stim/juice/r2p2m2.png","juice","gaze"
"60","r2p3m1.png","r2p2m3.png","p3","p2","m1","m3",0.9,0.5,1,3,"stim/juice/r2p3m1.png","stim/juice/r2p2m3.png","juice","gaze"
"61","r2p3m1.png","r2p3m1.png","p3","p3","m1","m1",0.9,0.9,1,1,"stim/juice/r2p3m1.png","stim/juice/r2p3m1.png","juice","gaze"
"62","r2p3m1.png","r2p3m2.png","p3","p3","m1","m2",0.9,0.9,1,2,"stim/juice/r2p3m1.png","stim/juice/r2p3m2.png","juice","gaze"
"63","r2p3m1.png","r2p3m3.png","p3","p3","m1","m3",0.9,0.9,1,3,"stim/juice/r2p3m1.png","stim/juice/r2p3m3.png","juice","gaze"
"64","r2p3m2.png","r2p1m1.png","p3","p1","m2","m1",0.9,0.1,2,1,"stim/juice/r2p3m2.png","stim/juice/r2p1m1.png","juice","gaze"
"65","r2p3m2.png","r2p1m2.png","p3","p1","m2","m2",0.9,0.1,2,2,"stim/juice/r2p3m2.png","stim/juice/r2p1m2.png","juice","gaze"
"66","r2p3m2.png","r2p1m3.png","p3","p1","m2","m3",0.9,0.1,2,3,"stim/juice/r2p3m2.png","stim/juice/r2p1m3.png","juice","gaze"
"67","r2p3m2.png","r2p2m1.png","p3","p2","m2","m1",0.9,0.5,2,1,"stim/juice/r2p3m2.png","stim/juice/r2p2m1.png","juice","gaze"
"68","r2p3m2.png","r2p2m2.png","p3","p2","m2","m2",0.9,0.5,2,2,"stim/juice/r2p3m2.png","stim/juice/r2p2m2.png","juice","gaze"
"69","r2p3m2.png","r2p2m3.png","p3","p2","m2","m3",0.9,0.5,2,3,"stim/juice/r2p3m2.png","stim/juice/r2p2m3.png","juice","gaze"
"70","r2p3m2.png","r2p3m1.png","p3","p3","m2","m1",0.9,0.9,2,1,"stim/juice/r2p3m2.png","stim/juice/r2p3m1.png","juice","gaze"
"71","r2p3m2.png","r2p3m2.png","p3","p3","m2","m2",0.9,0.9,2,2,"stim/juice/r2p3m2.png","stim/juice/r2p3m2.png","juice","gaze"
"72","r2p3m2.png","r2p3m3.png","p3","p3","m2","m3",0.9,0.9,2,3,"stim/juice/r2p3m2.png","stim/juice/r2p3m3.png","juice","gaze"
"73","r2p3m3.png","r2p1m1.png","p3","p1","m3","m1",0.9,0.1,3,1,"stim/juice/r2p3m3.png","stim/juice/r2p1m1.png","juice","gaze"
"74","r2p3m3.png","r2p1m2.png","p3","p1","m3","m2",0.9,0.1,3,2,"stim/juice/r2p3m3.png","stim/juice/r2p1m2.png","juice","gaze"
"75","r2p3m3.png","r2p1m3.png","p3","p1","m3","m3",0.9,0.1,3,3,"stim/juice/r2p3m3.png","stim/juice/r2p1m3.png","juice","gaze"
"76","r2p3m3.png","r2p2m1.png","p3","p2","m3","m1",0.9,0.5,3,1,"stim/juice/r2p3m3.png","stim/juice/r2p2m1.png","juice","gaze"
"77","r2p3m3.png","r2p2m2.png","p3","p2","m3","m2",0.9,0.5,3,2,"stim/juice/r2p3m3.png","stim/juice/r2p2m2.png","juice","gaze"
"78","r2p3m3.png","r2p2m3.png","p3","p2","m3","m3",0.9,0.5,3,3,"stim/juice/r2p3m3.png","stim/juice/r2p2m3.png","juice","gaze"
"79","r2p3m3.png","r2p3m1.png","p3","p3","m3","m1",0.9,0.9,3,1,"stim/juice/r2p3m3.png","stim/juice/r2p3m1.png","juice","gaze"
"80","r2p3m3.png","r2p3m2.png","p3","p3","m3","m2",0.9,0.9,3,2,"stim/juice/r2p3m3.png","stim/juice/r2p3m2.png","juice","gaze"
"81","r2p3m3.png","r2p3m3.png","p3","p3","m3","m3",0.9,0.9,3,3,"stim/juice/r2p3m3.png","stim/juice/r2p3m3.png","juice","gaze"
